Gemini,Gpt,Llama,Core,GeminiContent,GptContent,LlamaContent,Tweet
Positive,Positive,Positive,Positive,"**+1** 

The tweet expresses overwhelmingly positive sentiment. The user is thrilled with the fast delivery, the quality of the product, and the smooth shopping experience. The use of phrases like ""çok teşekkür ederim"" (thank you very much), ""mükemmel iş çıkarttı"" (did a great job), ""çok şık"" (very stylish), and ""gerçekten kaliteli"" (truly quality) highlights their satisfaction. 
",+1 The sentiment of the tweet is positive. The user expresses satisfaction with the quick delivery of the product and the quality of the item. They also thank both the online store and the supplier for their excellent service.,"**+1**

The sentiment of this tweet is overwhelmingly positive. The author expresses gratitude and satisfaction with their purchase experience on Hepsiburada, a Turkish e-commerce platform. They mention that the product arrived quickly, within 2 business days, and that it's high-quality and works well. The author also praises the seller for their excellent work. The use of positive adjectives such as ""çok şık"" (very stylish) and """" (really) emphasizes their happiness with the purchase. The emojis 😄 at the end of the tweet also indicate a positive and enthusiastic tone.","ürünüm 2 iş günü içinde elime geçti.henüz yarım saat oldu elime geçeli.ancak ben hemen yorum yapmak istedim bu kadar sorunsuz bir alışveriş olduğu için hepsiburadaya çok teşekkür ederim.tabiiki teminatçı firmayada teşekkür ederim herikiside mükemmel iş çıkarttı:)). ürünüm çok şık  çalışır durumda gerçekten kaliteli,"
Negative,Negative,Notr,Positive,"**-1** 

The tweet expresses mixed feelings. The user disagrees with the criticism about channel switching speed but acknowledges the slow opening time as a valid concern. The overall sentiment is negative due to the user's dissatisfaction with the opening process and the lack of indication that the device is actually turning on. 
","-1 The sentiment of the tweet is slightly negative. The user points out some issues with the channel switching speed and lack of indication when the channel opens, but overall expresses satisfaction with the product.","**0** (neutral)

The sentiment of this tweet is neutral because it expresses a mix of both positive and negative opinions. The user agrees with some of their friends who say that the channel changes are slow, but disagrees with them on other points. They mention that they are satisfied with the product overall, but have some issues with the opening procedure. The tone is calm and objective, without any strong emotions or criticism.","performans olarak kanal geçişleri hemen hemen bütün uyduların hızıyla aynı yavaş diyen arkadaşlara katılmıyorum,ancak açılış konusunda oldukça haklılar tek sıkıntısı 30-40 saniye içerisinde açılması ve açılırken açıldığına dair bir ibarenin veya ışık değişiminin olmaması :) bunun dışında üründen oldukça memnunum."
Notr,Notr,Negative,Notr,"**0** 

The tweet is neutral. It simply states a fact about the existence of console games related to a series. There is no emotional implication or opinion expressed. 
",0 The sentiment of the tweet is neutral. The tweet simply states that there are many console games related to this series without expressing a positive or negative opinion.,"**-1**

The sentiment of this tweet is negative. The word ""çok"" which translates to ""quite"" or ""very"" is used with ""fazladır"" which means ""there are many"" or ""it is excessive"". This implies that the writer is complaining about the excessive number of console games associated with this series.",Bu seriye ait konsol oyunları da oldukça fazladır .
Positive,Notr,Positive,Positive,"**+1** 

The tweet expresses positive sentiment about the product. The user mentions the product arrived quickly, is efficient with its washing cycles, and operates quietly. The user concludes by saying the product is ""alınabilir"" (meaning ""can be purchased""), suggesting overall satisfaction. 
","0 
The sentiment of this tweet is neutral. The user is providing a detailed review of a product they purchased, highlighting its features and performance. They conclude by recommending it as a good purchase option, without expressing any strong positive or negative emotion.","**+1**

The sentiment of this tweet is positive. The user is expressing satisfaction with their purchase, mentioning that the product arrived quickly (in 6 days) and that the service was prompt. They also highlight some impressive features of the product, such as its ability to wash clothes in 80 minutes, its quiet operation, and its ability to wash clothes in a relatively short amount of time compared to other similar products. The user's tone is enthusiastic and encouraging, which further reinforces the positive sentiment.",ürün 6 günde elime geçti servis kurdu. eco modu 3 saatte yıkıyor en kısa programı 80 dakika ama onda da çok iyi yıkıyor. sessiz çalışıyor. bu makineler genelde 1 ile 2 saat arasında yıkama yapıyor alınabilir bir ürün.
Negative,Negative,Negative,Negative,"**-1** This tweet expresses extreme negativity towards the hotel. The user complains about lack of hygiene, poor food quality, and even the need to travel to a different location for swimming. The description of the hotel is filled with strong negative words like ""berbat,"" ""ğrenç,"" ""rezalet,"" and ""akıllara zarar."" The final statement, ""hiç tavsiye etmiyorum,"" clearly indicates the strong negative sentiment towards the hotel. 
","The sentiment of the tweet is -1 (negative) because the person is describing their experience at a hotel in a negative light, highlighting issues with hygiene, food quality, and overall experience. They express their disappointment and stress during the vacation, ultimately advising against staying at the hotel.","**-1**

The sentiment of this tweet is overwhelmingly negative. The user expresses dissatisfaction with their hotel stay, citing poor hygiene, terrible food, and high expectations that were not met. They use strong language to describe their experience, calling the food ""rezalet"" and implying that the hotel is a source of stress. The user also expresses frustration with the breakfast, complaining that the omelets were not made properly and that they had to buy their own cheese and milk from the market. The tone is angry and disappointed, with the user explicitly stating that they would not recommend the hotel to others.",berbatiğrenç bir otel hijyen yok yemekler rezalet denize girmek için hergün ılıcaya gittik kendiniş anişmayoncu zannedenler aşçı ve turizmci zannedenler kahvaltıda omlet yapılan tavalar akıllara zararmarketten aldığımız peynir ve sütle kahvaltı yaptık öğle ve akşam yemeklerinde yoğurtlu makarna su bile içilecek gibi değildi nesi herşey dahil anlamadım tatilden çok stresli günlerdihiç tavsiye etmiyorum
Negative,Negative,Negative,Negative,"**-1**

The tweet expresses extreme dissatisfaction with the hotel. The user describes the rooms as ""tiny,"" the doors as ""wooden and creaking,"" the TV as ""broken,"" the food as ""terrible,"" and the animation as ""amateurish and joyless."" The user also mentions that the staff is amateurish and the hotel is closing soon due to a lack of investment. This all points to a very negative experience. 
","-1 The sentiment of the tweet is negative. The author is expressing dissatisfaction with the hotel they stayed at, mentioning small rooms, wooden and peeling doors, broken and difficult-to-use TV, poor quality food, unprofessional animation, and service staff, as well as lack of investment and service improvement in the hotel.","**-1**

The sentiment of this tweet is overwhelmingly negative. The user is expressing disappointment and frustration with their experience at an hotel, mentioning several issues such as small rooms with creaky doors, a broken TV screen, poor food quality, and inexperienced staff. The tone is bitter and cynical, with the user implying that the hotel's management is aware of the problems but not taking any action to improve the situation. The language used is strong, with words like ""berbat"" (meaning ""awful"" or ""terrible"") and ""amatorce"" (meaning ""amateurishly""), emphasizing the intensity of the user's negative emotions.",berbatdeğerli arkadaşlar bugun       bu otele    temmuz tarıhlerı arasında ailemle gıtme gafletınde bulundum odalar kucucuk kapılar tahta ve dokuluyor tv  ekran tuplu bozuk ve   kanalı zor çekıyor yemekler berbat anımasyon amatorce ve keyıfsız plastık bardaklarda ikram yapıyorlar  garsonlar (  tanesı harıc) amator ve iş bılmıyorlar  zaten otel kıralıkmış   ekımde sozleşmesı bıtıyormuş o yuzden   de hıc ama hıc yatırım ve hızmet yapmadıklarını samımı   çalışanından öğrendım
Negative,Negative,Negative,Negative,"**-1**

The tweet expresses strong negative sentiment towards the film. The user describes the film as ""dull"", ""boring"", ""uninteresting"", and ""bland"". They criticize the plot, pacing, and visual elements.  They also explicitly state they were disappointed and expected something better. 
","-1 The sentiment of the tweet is negative. The user expresses disappointment with the film, stating that the storyline lacks flow, is stagnant, and boring. They expected something similar to ""War of the Worlds"" but found the film to be dull and unable to compare in terms of plot and visuals. The user also mentions that they knew the film was bad from the beginning.","**Score: -1**

The sentiment of this tweet is negative. The user expresses disappointment and frustration with the film, calling it ""durağan"" and ""sıkıcı"" (boring and monotonous), and stating that it didn't meet their expectations. They also compare it unfavorably to another film, ""Dünyalar Savaşı"" (World War), which they seem to enjoy more. The user's tone is sarcastic and critical, with phrases like ""aklıcası film ilk başladığında bile kötü bir film izlenimi veriyor"" (openly, the film gives a bad impression from the start). Overall, the tweet conveys a negative sentiment about the film."," Filmde akıp giden senaryo yok. durağan, sıkıcı bir şekilde ilerliyor film. açıkcası film ilk başladığında bile kötü bir film izlenimi veriyor. bunu anlamıştım. sıkıcı, merak uyandırmayan ilerleyişi ve konudaki saçmalıklara rağmen bu puan filme çok. gerçekten yavan bir film. dünyalar savaşı tadında bişi bekliyodum ama dünyalar savaşı gerçekten süper bir film ve bu film onun yanından bile geçemez hem konu-senaryo olarak hemde görsel öğeler olarak. 10 üzerinden 4 "
Negative,Negative,Negative,Negative,"**-1** 

The tweet expresses strong negative sentiment towards the Spider-Man film. The user is disappointed with the film's second half, calling it ""vasat"" (mediocre), and criticizes its pacing, plot holes, and lack of emotional impact. They specifically mention the ""7 üzeri uyarısı"" (over 7 warning) and the ""muazzam kopuk sahneler"" (amazingly disconnected scenes) as evidence of the film's shortcomings. 
","-1 The tweet expresses a negative sentiment towards the movie ""Spider-Man"", criticizing it for being mediocre and poorly executed, with disjointed scenes and unnecessary elongations. The user was disappointed by the lack of coherence in the plot and how certain scenes resembled a drawn-out torture. The overall sentiment is one of dissatisfaction with the film.","**-1**

The sentiment of this tweet is negative. The tweet expresses frustration and disappointment with the movie ""Spider-Man"" (likely ""Spider-Man 3""). The user mentions that they had high hopes, but the film failed to deliver, describing it as ""average"" and having many flaws, such as unnecessary long scenes and poor pacing. The user also criticizes the film's violence and lack of emotional reaction from the characters, specifically a scene where a character's child almost falls from a high place and the parent doesn't react. The tone is critical and disapproving, with a sense of disappointment and disillusionment.", beyler büyük umutlarla gittigim örümcek adam tek kelimeyle vasat çıktı çok güzel başlayan ilk yarı anlaşılmaz bir şekilde ikinci yarıda vasat bir duruma geldi aslında belirtileride yok degildi film başlarken 7  üzeri uyarısı zaten canımı sıkmıştı çünkü bir çocuk filmi izlemek üzeydik ve sam raimi bir açıklamasında yapım şirketi 04/05/2007 de örümcek vizyonda dediginde bizim daha senaryomuz yok demiş buda canımı sıkıyordu ama bunu beklemiyordum muazzam kopuk sahneler gereksiz uzamış sahneler hatta şunu diyebilirim yüzüklerin efendisi kralın dönüşündeki işkence gibi son 15 dakikayı sam raimi 30 dk yapmış ve filme yaymış filmde çok fazla kopukluk vardı kızının bir gökdelende düşmek üzere gören baba hiç bir tepki vermiyor umursamıyor bile 
Negative,Negative,Negative,Positive,"**-1** 

The tweet expresses disappointment and frustration. The user was surprised by the high rating the film received before its release but found it overrated after watching. They acknowledge the film's good qualities but believe it doesn't deserve such high praise, considering other great films. This indicates a negative sentiment. 
","-1 
The tweet expresses disappointment that a film, which was rated highly before its release, did not live up to the hype after watching it. The author believes the film is good, but not deserving of a 9 or 10 rating, as it would be disrespectful to other iconic films.","**-1**

This tweet expresses a negative sentiment. The author is initially surprised and skeptical of a film receiving a 9.5 average rating without being released yet. After watching the film, they were unable to understand why it was rated so highly and think that it's overrated. They conclude that it's not a 9 or 10 movie, but rather a 7/10. The author is also critical of the film's reputation and others' opinions, stating that it's not deserving of the same level of respect as other great cult films, implying that the high rating is undeserved."," Film daha vizyona girmeden 9.5 ortalama ile oylandigini görünce acikcasi sasirmistim. Filmi izledikten sonra, Bu kadar abartilmasini anlayamadim. Gercekten güzel film ama 9 yada 10 verilecek film degil asla... Bu seviyede olan diger kült filmlere saygisizlik olur.. 7/10 "
Negative,Notr,Negative,Notr,"**-1** 

The tweet expresses a negative sentiment. The phrase ""ancak bu tablolar belirli veri sayısı ve anlamlılık düzeyi dışında ise kullanılamaz"" translates to ""however, these tables cannot be used unless they have a certain amount of data and level of significance."" This implies a limitation or restriction, indicating a negative aspect. 
","0 
The tweet is neutral as it simply states a fact without showing any positive or negative emotion.","**-1**

The sentiment of this tweet is negative. The language used is formal and technical, but the tone is cautionary and warning. The phrase ""usinglamaz"" (cannot be used) conveys a sense of restriction or limitation, implying that the tables are not suitable for use due to certain conditions. The overall tone is quite stern and discourages the use of the tables without meeting certain criteria.",Ancak bu tablolar belirli veri sayısı ve anlamlılık düzeyi dışında ise kullanılamaz .
